main_chain,question,simple_constraint,temporal_constraint,aggregation_max_constraint,aggregation_sum_constraint,aggregation_count_entity_constraint,selection_constraint,type
person-lead_investor_of-funding_round-launched-org,[person] was the lead investor of funding round launched by which organizations,,,,,,,
person-lead_investor_of-funding_round-type_of-investment_type,[person] was the lead investor of what types of funding rounds,,,,,,,
person-lead_investor_of-funding_round-country_code-country_code,[person] was the lead investor of funding rounds in which countries,,,,,,,
person-lead_investor_of-funding_round-raised_amount_usd-funding_round_price,amounts raised in the funding rounds led by [person],,,,,,,numeric
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list investment partners in the funding rounds lead by [person1],,,,,,,
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list the (gender) investment partners in the funding rounds that [person1] led,person2-gender-gender,,,,,,
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list investment partners in the funding rounds lead by [person1],,,,,,,
person1-lead_investor_of-funding_round-funding_round_investment_partner-person2,list investment partners from (country_code) in the funding rounds lead by [person1],person2-country_code-country_code,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in which organizations,,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in what companies based in (country_code),org-country_code-country_code,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in which organizations,,,,,,,
person-funding_round_investor-funding_round-launched-org,[person] invested in what (category) companies,org-category-category,,,,,,
person-funding_round_investor-funding_round-type_of-investment_type,[person] invested in what types of funding rounds,,,,,,,
person-sponsor-event-country_code-country_code,[person] is the sponsor of events in which countries,,,,,,,
person-sponsor-event-city-city,[person] is the sponsor of events in which cities,,,,,,,
person-sponsor-event-type_of-event_role,[person] is the sponsor of what types of events,,,,,,,
person-speaker-event-country_code-country_code,[person] is the sspeaker of events in which countries,,,,,,,
person-speaker-event-city-city,[person] is the speaker of events in which cities,,,,,,,
person-speaker-event-type_of-event_role,[person] is the speaker of what types of events,,,,,,,
person-organizer-event-country_code-country_code,[person] is the organizer of events in which countries,,,,,,,
person-organizer-event-city-city,[person] is the organizer of events in which cities,,,,,,,
person-organizer-event-type_of-event_role,[person] is the organizer of what types of events,,,,,,,
person-exhibitor-event-country_code-country_code,[person] is the exhibitor of events in which countries,,,,,,,
person-exhibitor-event-city-city,[person] is the exhibitor of events in which cities,,,,,,,
person-exhibitor-event-type_of-event_role,[person] is the exhibitor of what types of events,,,,,,,
person-contestant-event-country_code-country_code,[person] is the contestant of events in which countries,,,,,,,
person-contestant-event-city-city,[person] is the contestant of events in which cities,,,,,,,
person-contestant-event-type_of-event_role,[person] is the contestant of what types of events,,,,,,,
org-launched-funding_round-type_of-investment_type,[org] launched what types of funding rounds,,,,,,,
org-launched-funding_round-country_code-country_code,[org] launched funding rounds in what countries,,,,,,,
org-launched-funding_round-city-city,[org] launched funding rounds in what cities,,,,,,,
org-launched-funding_round-lead_investor_of-person,list of people who were the lead investors of [org]'s funding rounds,,,,,,,
org1-launched-funding_round-lead_investor_of-org2,list of companies that were lead investors of [org1]'s funding rounds,,,,,,,
org-launched-funding_round-announced_on-date,when did [org] announce its funding rounds,,,,,,,numeric
org-launched-funding_round-funding_round_investor-person,list of people who invested in [org],,,,,,,
org1-launched-funding_round-funding_round_investor-org2,list companies that invested in [org1],,,,,,,
org1-lead_investor_of-funding_round-launched-org2,[org1] was lead investor of funding orunds launched by which companies,,,,,,,
org-lead_investor_of-funding_round-type_of-investment_type,[org] was the lead investor of what types of funding rounds,,,,,,,
org-lead_investor_of-funding_round-country_code-country_code,[org] was the lead investor of funding rounds in which countries,,,,,,,
org-lead_investor_of-funding_round-raised_amount_usd-funding_round_price,amounts raised in the funding rounds led by [org],,,,,,,numeric
org-lead_investor_of-funding_round-funding_round_investment_partner-person,list investment partners in the funding rounds lead by [org],,,,,,,
org1-funding_round_investor-funding_round-launched-org2,[org1] invested in which organizations,,,,,,,
org-funding_round_investor-funding_round-type_of-investment_type,[org] invested in what type of funding rounds,,,,,,,
org-funding_round_investor-funding_round-raised_amount_usd-funding_round_price,amounts raised in funding rounds [org] invested in,,,,,,,numeric
org-sponsor-event-country_code-country_code,[org1] is the sponsor of events in which countries,,,,,,,
org-sponsor-event-city-city,[org] is the sponsor of events in which cities,,,,,,,
org-sponsor-event-type_of-event_role,[org] is the sponsor of what types of events,,,,,,,
org-speaker-event-country_code-country_code,[org] is the speaker of events in which countries,,,,,,,
org-speaker-event-city-city,[org] is the speaker of events in which cities,,,,,,,
org-speaker-event-type_of-event_role,[org] is the speaker of what types of events,,,,,,,
org-organizer-event-country_code-country_code,[org] is the organizer of events in which countries,,,,,,,
org-organizer-event-city-city,[org] is the organizer of events in which cities,,,,,,,
org-organizer-event-type_of-event_role,[org] is the organizer of what types of events,,,,,,,
org-exhibitor-event-country_code-country_code,[org] is the exhibitor of events in which countries,,,,,,,
org-exhibitor-event-city-city,[org] is the exhibitor of events in which cities,,,,,,,
org-exhibitor-event-type_of-event_role,[org] is the exhibitor of what types of events,,,,,,,
org-contestant-event-country_code-country_code,[org] is the contestant of events in which countries,,,,,,,
org-contestant-event-city-city,[org] is the contestant of events in which cities,,,,,,,
org-contestant-event-type_of-event_role,[org] is the contestant of what types of events,,,,,,,
category-category-org-org_ipo-ipo,ipos released by [category] organizations,,,,,,,
category-category-org-parent_org-org_parent,list of parent organizations of [category] companies,,,,,,,
category-category-org-launched-funding_round,list of funding rounds launched by [category] organizations,,,,,,,
category-category-org-lead_investor_of-funding_round,list of funding rounds led by [category] companies,,,,,,,
category-category-org-funding_round_investor-funding_round,list of funding rounds that has [category] investors,,,,,,,
category-category-org-has_fund-fund,list the funds owned by [category] organizations,,,,,,,
category-category-org-sponsor-event,list of events sponsored by [category] companies,,,,,,,
category-category-org-speaker-event,list of events with a speaker from [category],,,,,,,
category-category-org-organizer-event,list or events organized by [category] companies,,,,,,,
category-category-org-exhibitor-event,list of events with an exhibitor from [category],,,,,,,
category-category-org-contestant-event,list of events with a contestant from [category],,,,,,,
org_role-role-org-sponsor-event,list of events sponsored by [role] organizations,,,,,,,
org_role-role-org-speaker-event,list of events in which the speaker is has role [role],,,,,,,
org_role-role-org-organizer-event,list or events organized by [role] organizations,,,,,,,
org_role-role-org-exhibitor-event,list of events in which the exhibitor has role [role],,,,,,,
org_role-role-org-contestant-event,list of events involving contestants with [role],,,,,,,
event-sponsor-person-country_code-country_code,the sponsor of [event] come from what countries,,,,,,,
event1-sponsor-person-sponsor-event2,people that sponsored [event1] also sponsored in what other events,,,,,,,
event1-sponsor-org-sponsor-event2,companies that sponsored [event1] also sponsored in what other events,,,,,,,
event-sponsor-org-category-category,the sponsors of [event] are from what industries,,,,,,,
event-speaker-org-category-category,the speakers of [event] are from what industries,,,,,,,
event-organizer-org-category-category,the organizers of [event] are from what industries,,,,,,,
event-exhibitor-org-category-category,the exhibitor of [event] are from what industries,,,,,,,
event-contestant-org-category-category,the contestants of [event] are from what industries,,,,,,,
fund-has_fund-org-launched-funding_round,the owner of [fund] launched which funding rounds,,,,,,,
fund-has_fund-org-lead_investor_of-funding_round,the owner of [fund] is the lead investor of which funding rounds,,,,,,,
fund-has_fund-org-funding_round_investor-funding_round,the owner of [fund] invested in which funding rounds,,,,,,,
fund-has_fund-org-sponsor-event,the owner of [fund] sponsored what events,,,,,,,
fund-has_fund-org-country_code-country_code,the owner of [fund] is from what countries,,,,,,,
fund-has_fund-org-org_status-org_status,what is the operating suatus of the owner of [fund],,,,,,,
fund-has_fund-org-role-org_role,what are the roles of the owner of [fund],,,,,,,
fund-has_fund-org-category-category,the owner of [fund] is from what industries,,,,,,,
funding_round-lead_investor_of-person-country_code-country_code,[funding_round] is led by investors from what countries,,,,,,,
funding_round-lead_investor_of-org-country_code-country_code,[funding_round] is led by investors from what countries,,,,,,,
funding_round-funding_round_investor-person-country_code-country_code,the investors of [funding_round] are from which countries,,,,,,,
funding_round-funding_round_investor-org-country_code-country_code,the investors of [funding_round] are from which countries,,,,,,,
funding_round-funding_round_investor-org-category-category,the investors of [funding_round] are from what industries,,,,,,,
funding_round-funding_round_investment_partner-person-country_code-country_code,[funding_round]'s investment partners are from which countries,,,,,,,
city-city-funding_round-launched-org,funding rounds in [city] are launched by what organizations,,,,,,,
funding_round-funding_round_investor-org-category-category,the investors of [funding_round] are from what industries,,,,,,,
funding_round-funding_round_investment_partner-person-country_code-country_code,[funding_round]'s investment partners are from which countries,,,,,,,
org_parent-parent_org-org-category-category,[pareng_org]'s child companies are from what categories,,,,,,,
